id,Species,Host,nonitalic,subsp,Location,Sample_ID,sep,Notes,ITS_LSU,CAM,GADPH,GS,RPB2,TUB2
s1,'Erysiphe intermedia','Lupinus polyphullus','','','in USA','HAL 3381F','|',epitype other gene seqs apparently not published,MZ265161.1,,,,,
s2,'Erysiphe intermedia','Lupinus polyphullus','','','in USA','HAL 3385F','|',other gene seqs apparently not published,MZ265162.1,,,,,
s3,'Erysiphe radulescui','Brassica oleracea','','','in North Carolina','FH00941980','|',,OR424971.1,OR427481.1,OR427567.1,OR427651.1,OR427720.1,OR427744.1
s4,'Erysiphe radulescui','Brassica oleracea ','var.','acephala','in North Carolina','FH00941979','|',,OR424972.1,OR427482.1,OR427568.1,OR427652.1,OR427721.1,OR427743.1
s5,'Erysiphe radulescui','Brassica napus','','','in North Carolina','FH00941978','|',,OR424970.1,OR427480.1,OR427566.1,OR427650.1,OR427719.1,OR427742.1
s6,'Erysiphe radulescui','Cleome','sp.','','in Germany','HAL 623 F','|',,OR424973.1,OR427483.1,OR427569.1,OR427653.1,OR427722.1,OR427786.1
s7,'Erysiphe radulescui','Cleome spinosa','','','in Romania','I 111498','|',ex-epitype,OR424974.1,OR427484.1,OR427570.1,OR427654.1,,OR427788.1
s8,'Erysiphe alliariicola','Alliaria petiolata','','','in Germany','GLM F 78557','|',,OR424894.1,OR427407.1,OR427503.1,OR427590.1,OR427670.1,OR427779.1
s9,'Erysiphe alliariicola','Alliaria petiolata','','','in Germany','GLM F 49489','|',,OR424891.1,OR427406.1,OR427502.1,OR427589.1,OR427669.1,OR427776.1
s10,'Erysiphe alliariicola','Alliaria petiolata','','','in Sweden','GLM F 47289','|',,OR424892.1,OR427408.1,OR427504.1,OR427591.1,OR427671.1,OR427775.1
s11,'Erysiphe alliariicola','Alliaria petiolata','','','in Armenia','HAL 1114 F','|',,OR424893.1,OR427405.1,OR427501.1,OR427588.1,,OR427780.1
s12,'Erysiphe alliariicola','Alliaria petiolata','','','in Germany','GLM F 62492','|',Holotype,OR424895.1,OR427409.1,OR427505.1,OR427592.1,OR427672.1,OR427778.1
s13,'Erysiphe crucifearum','Alyssum strictum','','','in Armenia','HAL 1116 F','|',,OR424912.1,OR427427.1,OR427519.1,OR427606.1,,OR427781.1
s14,'Erysiphe crucifearum','Berteroa incana','','','in Germany','GLM F 74700','|',,OR424913.1,OR427428.1,,OR427607.1,OR427685.1,
s15,'Erysiphe crucifearum','Alyssum alyssoides','','','in Germany','GLM F 50149','|',,OR424909.1,OR427424.1,,OR427603.1,OR427683.1,OR427777.1
s16,'Erysiphe crucifearum','Alyssum hirsutum','','','in Ukraine','HAL 1123 F','|',,OR424910.1,OR427425.1,,OR427604.1,,OR427782.1
s17,'Erysiphe crucifearum','Alyssum simplex','','','in Greece','HAL 3546 F','|',,OR424911.1,OR427426.1,OR427518.1,OR427605.1,OR427684.1,OR427784.1
s18,Erysiphe alliariicola','Thlaspi arvense','','','in Minnesota','MIN984734','|',,OR195529_and_PP499013,PQ213024,PQ213025,PQ213026,PQ213027,
